Date,ProductCode,ProductName,Category,QuantitySold,Price,Cost,Revenue,Profit,QuantitySold_Lag7,QuantitySold_Lag14,QuantitySold_Lag30,QuantitySold_RollingMean7,QuantitySold_RollingStd7,QuantitySold_RollingMean30,QuantitySold_RollingStd30,DayOfWeek,DayName,Month,MonthName,Quarter,DayOfMonth,DayOfYear,WeekOfYear,IsWeekend,MonthSin,MonthCos,DaysToHoli,NearHoli,DaysToDiwali,NearDiwali,DaysToDussehra,NearDussehra,DaysToEid,NearEid,CategoryAvgSales,CategoryStdSales,PriceTier,ProfitMarginPct,RevenueMomentum
2023-01-01,P013,Amul_Ice_Cream,Dairy,26,150,110,3900,1040,39.0,39.0,40.0,26.0,7.025458780208755,26.0,8.16524735496829,6,Sunday,1,January,1,1,1,52,1,0.49999999999999994,0.8660254037844387,449,0,670,0,650,0,466,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-02,P013,Amul_Ice_Cream,Dairy,18,150,110,2700,720,39.0,39.0,40.0,22.0,5.656854249492381,22.0,5.656854249492381,0,Monday,1,January,1,2,2,1,0,0.49999999999999994,0.8660254037844387,448,0,669,0,649,0,465,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-03,P013,Amul_Ice_Cream,Dairy,21,150,110,3150,840,39.0,39.0,40.0,21.666666666666668,4.041451884327381,21.666666666666668,4.041451884327381,1,Tuesday,1,January,1,3,3,1,0,0.49999999999999994,0.8660254037844387,447,0,668,0,648,0,464,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-04,P013,Amul_Ice_Cream,Dairy,17,150,110,2550,680,39.0,39.0,40.0,20.5,4.041451884327381,20.5,4.041451884327381,2,Wednesday,1,January,1,4,4,1,0,0.49999999999999994,0.8660254037844387,446,0,667,0,647,0,463,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-05,P013,Amul_Ice_Cream,Dairy,20,150,110,3000,800,39.0,39.0,40.0,20.4,3.5071355833500366,20.4,3.5071355833500366,3,Thursday,1,January,1,5,5,1,0,0.49999999999999994,0.8660254037844387,445,0,666,0,646,0,462,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-06,P013,Amul_Ice_Cream,Dairy,16,150,110,2400,640,39.0,39.0,40.0,19.666666666666668,3.614784456460255,19.666666666666668,3.614784456460255,4,Friday,1,January,1,6,6,1,0,0.49999999999999994,0.8660254037844387,444,0,665,0,645,0,461,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-07,P013,Amul_Ice_Cream,Dairy,23,150,110,3450,920,39.0,39.0,40.0,20.142857142857142,3.532165125838609,20.142857142857142,3.532165125838609,5,Saturday,1,January,1,7,7,1,1,0.49999999999999994,0.8660254037844387,443,0,664,0,644,0,460,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-08,P013,Amul_Ice_Cream,Dairy,26,150,110,3900,1040,26.0,39.0,40.0,20.142857142857142,3.532165125838609,20.875,3.8706773124535787,6,Sunday,1,January,1,8,8,1,1,0.49999999999999994,0.8660254037844387,442,0,663,0,643,0,459,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-09,P013,Amul_Ice_Cream,Dairy,16,150,110,2400,640,18.0,39.0,40.0,19.857142857142858,3.804758924845367,20.333333333333332,3.968626966596886,0,Monday,1,January,1,9,9,2,0,0.49999999999999994,0.8660254037844387,441,0,662,0,642,0,458,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.1111
2023-01-10,P013,Amul_Ice_Cream,Dairy,17,150,110,2550,680,21.0,39.0,40.0,19.285714285714285,3.903600291794133,20.0,3.8873012632302,1,Tuesday,1,January,1,10,10,2,0,0.49999999999999994,0.8660254037844387,440,0,661,0,641,0,457,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.1905
2023-01-11,P013,Amul_Ice_Cream,Dairy,14,150,110,2100,560,17.0,39.0,40.0,18.857142857142858,4.3369947901195145,19.454545454545453,4.107642544419764,2,Wednesday,1,January,1,11,11,2,0,0.49999999999999994,0.8660254037844387,439,0,660,0,640,0,456,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.1765
2023-01-12,P013,Amul_Ice_Cream,Dairy,19,150,110,2850,760,20.0,39.0,40.0,18.714285714285715,4.3094580368566735,19.416666666666668,3.91868097783688,3,Thursday,1,January,1,12,12,2,0,0.49999999999999994,0.8660254037844387,438,0,659,0,639,0,455,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.05
2023-01-13,P013,Amul_Ice_Cream,Dairy,19,150,110,2850,760,16.0,39.0,40.0,19.142857142857142,4.140393356054125,19.384615384615383,3.7536307210144675,4,Friday,1,January,1,13,13,2,0,0.49999999999999994,0.8660254037844387,437,0,658,0,638,0,454,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.1875
2023-01-14,P013,Amul_Ice_Cream,Dairy,25,150,110,3750,1000,23.0,39.0,40.0,19.428571428571427,4.503966505838413,19.785714285714285,3.906179944426749,5,Saturday,1,January,1,14,14,2,1,0.49999999999999994,0.8660254037844387,436,0,657,0,637,0,453,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.087
2023-01-15,P013,Amul_Ice_Cream,Dairy,24,150,110,3600,960,26.0,26.0,40.0,19.142857142857142,4.059087394500207,20.066666666666666,3.9182114481458186,6,Sunday,1,January,1,15,15,2,1,0.49999999999999994,0.8660254037844387,435,0,656,0,636,0,452,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.0769
2023-01-16,P013,Amul_Ice_Cream,Dairy,16,150,110,2400,640,16.0,18.0,40.0,19.142857142857142,4.059087394500207,19.8125,3.9195025194532023,0,Monday,1,January,1,16,16,3,0,0.49999999999999994,0.8660254037844387,434,0,655,0,635,0,451,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-17,P013,Amul_Ice_Cream,Dairy,20,150,110,3000,800,17.0,21.0,40.0,19.571428571428573,3.9520940802374143,19.823529411764707,3.795314448725676,1,Tuesday,1,January,1,17,17,3,0,0.49999999999999994,0.8660254037844387,433,0,654,0,634,0,450,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.1765
2023-01-18,P013,Amul_Ice_Cream,Dairy,18,150,110,2700,720,14.0,17.0,40.0,20.142857142857142,3.2366943748507473,19.72222222222222,3.706997446095624,2,Wednesday,1,January,1,18,18,3,0,0.49999999999999994,0.8660254037844387,432,0,653,0,633,0,449,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.2857
2023-01-19,P013,Amul_Ice_Cream,Dairy,19,150,110,2850,760,19.0,20.0,40.0,20.142857142857142,3.2366943748507473,19.68421052631579,3.606362149481992,3,Thursday,1,January,1,19,19,3,0,0.49999999999999994,0.8660254037844387,431,0,652,0,632,0,448,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.0
2023-01-20,P013,Amul_Ice_Cream,Dairy,18,150,110,2700,720,19.0,16.0,40.0,20.0,3.316624790355399,19.6,3.530319800632351,4,Friday,1,January,1,20,20,3,0,0.49999999999999994,0.8660254037844387,430,0,651,0,631,0,447,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.0526
2023-01-21,P013,Amul_Ice_Cream,Dairy,26,150,110,3900,1040,25.0,23.0,40.0,20.142857142857142,3.5790395093549616,19.904761904761905,3.7135530412902673,5,Saturday,1,January,1,21,21,3,1,0.49999999999999994,0.8660254037844387,429,0,650,0,630,0,446,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.04
2023-01-22,P013,Amul_Ice_Cream,Dairy,23,150,110,3450,920,24.0,26.0,40.0,20.0,3.415650255319865,20.045454545454547,3.6836482010724194,6,Sunday,1,January,1,22,22,3,1,0.49999999999999994,0.8660254037844387,428,0,649,0,629,0,445,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.0417
2023-01-23,P013,Amul_Ice_Cream,Dairy,14,150,110,2100,560,16.0,16.0,40.0,19.714285714285715,3.860668582611294,19.782608695652176,3.813332135584912,0,Monday,1,January,1,23,23,4,0,0.49999999999999994,0.8660254037844387,427,0,648,0,628,0,444,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.125
2023-01-24,P013,Amul_Ice_Cream,Dairy,19,150,110,2850,760,20.0,17.0,40.0,19.571428571428573,3.8668308667927214,19.75,3.732932173063911,1,Tuesday,1,January,1,24,24,4,0,0.49999999999999994,0.8660254037844387,426,0,647,0,627,0,443,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.05
2023-01-25,P013,Amul_Ice_Cream,Dairy,20,150,110,3000,800,18.0,14.0,40.0,19.857142857142858,3.804758924845366,19.76,3.654677368341379,2,Wednesday,1,January,1,25,25,4,0,0.49999999999999994,0.8660254037844387,425,0,646,0,626,0,442,0,30.15068493150685,10.779770906906748,Luxury,26.67,0.1111
2023-01-26,P013,Amul_Ice_Cream,Dairy,18,150,110,2700,720,19.0,19.0,40.0,19.714285714285715,3.860668582611294,19.692307692307693,3.597434983642993,3,Thursday,1,January,1,26,26,4,0,0.49999999999999994,0.8660254037844387,424,0,645,0,625,0,441,0,30.15068493150685,10.779770906906748,Luxury,26.67,-0.0526
